Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,Marvel One-Shot: The Consultant,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,The Avengers,Marvel One-Shot: Item 47,Iron Man 3,Marvel One-Shot: Agent Carter,Agents of S.H.I.E.L.D.,Thor: The Dark World,Marvel One-Shot: All Hail the King,Captain America: The Winter Soldier,Guardians of the Galaxy,Agent Carter,Daredevil,Avengers: Age of Ultron,WHIH News Front,Ant-Man,Jessica Jones,Captain America: Civil War,Luke Cage,Doctor Strange,Agents of S.H.I.E.L.D.: Slingshot,Iron Fist,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,The Defenders,Inhumans,Thor: Ragnarok,The Punisher,Runaways,Black Panther,Avengers: Infinity War,Cloak & Dagger,Ant-Man and the Wasp,Captain Marvel,Avengers: Endgame,Spider-Man: Far from Home,Helstrom,Marvel Studios: Legends,WandaVision,The Falcon and the Winter Soldier,Loki,Black Widow,What If...?,Shang-Chi and the Legend of the Ten Rings,Eternals,Hawkeye,Spider-Man: No Way Home,Moon Knight,Doctor Strange in the Multiverse of Madness,Ms. Marvel,Thor: Love and Thunder,She-Hulk: Attorney at Law,Werewolf by Night,Black Panther: Wakanda Forever,The Guardians of the Galaxy: Holiday Special,character_name,alternate_name
,,,,,,,,,,,,,,,,,20:30,,,,,,,,,,,,x:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marci Stahl,
,,,,,,,,,,,,,,,,,19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samantha Reyes,
,,,,,,,,,,,,,,,,,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Murdock,
,,,,,,,,,,,,,,,,,16:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAC Tammy Hattley,
,,,,,,,,,,,,,,,,,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melvin Potter,
,,,,,,,,,,,,,,,,,16:00,,,,,,,,,24:15,,,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madame Gao,
,,,,,,,,,,,,,,,,,14:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elliot ""Grotto"" Grote",
,,,,,,,,,,,,,,,,,13:00,,,,,,11:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benjamin Donovan,
,,,,,,,,,,,,,,,,,12:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seema Nadeem,
,,,,,,,,,,,,,,,,,12:00,,,,1:15,,9:00,,,2:00,,,1:30,,,5:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turk Barrett,
,,,,,,,,,,,,,,,,,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anatoly Ranskahov,
,,,,,,,,,,,,,,,,,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Det. Carl Hoffman,
,,,,,,,,,,,,,,,,,10:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Healy,
,,,,,,,,,,,,,,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Col. Ray Schoonover,
,,,,,,,,,,,,,,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elena Cardenas,
,,,,,,,,,,,,,,,,,8:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doris Urich,
,,,,,,,,,,,,,,,,,8:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julie Barnes,
,,,,,,,,,,,,,,,,,7:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Det. Christian Blake,
,,,,,,,,,,,,,,,,,7:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theo Nelson,
,,,,,,,,,,,,,,,,,7:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Page,
,,,,,,,,,,,,,,,,,7:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marlene Fisk,"""Mrs. Vistain"""
,,,,,,,,,,,,,,,,,7:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hirochi,
,,,,,,,,,,,,,,,,,7:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felix Manning,
,,,,,,,,,,,,,,,,,6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stan Gibson,
,,,,,,,,,,,,,,,,,6:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bill Fisk,
,,,,,,,,,,,,,,,,,6:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Todd,
,,,,,,,,,,,,,,,,,5:45,,,,,,,,,:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shirley Benson,
,,,,,,,,,,,,,,,,,5:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Eileen Mercer,
,,,,,,,,,,,,,,,,,5:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paxton Page,
,,,,,,,,,,,,,,,,,4:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sami Nadeem,
,,,,,,,,,,,,,,,,,4:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roscoe Sweeney,
,,,,,,,,,,,,,,,,,3:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jasper Evans,
,,,,,,,,,,,,,,,,,3:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stewart Finney,
,,,,,,,,,,,,,,,,,3:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Cynthia Batzer,
,,,,,,,,,,,,,,,,,2:30,,,,,,6:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosalie Carbone,
,,,,,,,,,,,,,,,,,2:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anna Nelson,
,,,,,,,,,,,,,,,,,2:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edward Nelson,
,,,,,,,,,,,,,,,,,2:15,,,,,,,,,,,,x:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josie,
,,,,,,,,,,,,,,,,,2:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mrs. Shelby,
,,,,,,,,,,,,,,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betsy Beatty,
,,,,,,,,,,,,,,,,,1:00,,,,207:00,,,,,13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jeryn ""Jeri"" Hogarth",
,,,,,,,,,,,,,,,,,:45,,,,,,,,,,,,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capt. Streiber,
,,,,,,,,,,,,,,,,,,17:00,,,,,,,,,,,,,,,,,,,,,,,,2:00,,,,,15:00,,,,,,:45,,,,,,,Ultron,
,,,,,,,,,,,,,,,,,,6:15,,,,7:15,,,,,,,,,,,,,10:00,,,,,,,6:45,80:00,,,,2:15,,,,,,,,,,,,,Vision,
,,,,,,,,,,,,,,,,,,3:45,,,,,,,,,,,,,,,,,,,,,:45,,,:45,,,,,,,,3:15,,,,,,,,,,Laura Barton,
,,,,,,,,,,,,,,,,,,3:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Helen Cho,
,,,,,,,,,,,,,,,,,,3:00,,,,,,,,,,,,,,,,,:45,,,,:15,,,:15,,,,,1:45,,,,,,,,,,,,,Maria Hill,
,,,,,,,,,,,,,,,,,,3:00,,,,,,,,,,,,,,,,,1:00,,,,:15,:30,,2:30,,,,,7:45,,,,,,,,,,,,,Nick Fury,
,,,,,,,,,,,,,,,,,,2:45,,,,,,,,,,,,,,,,7:15,,,,,,,,,,,,,1:45,,,,,,,,,,,,,Ulysses Klauë,
,,,,,,,,,,,,,,,,,,,2:30,50:30,,5:30,,,,,,,,,,,,,,,42:30,,13:15,,,:15,,,x:00,,2:00,,,,,,,,,,,,,Scott Lang,
,,,,,,,,,,,,,,,,,,,2:00,14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darren Cross,
,,,,,,,,,,,,,,,,,,,x:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Wilcon,Falcon
,,,,,,,,,,,,,,,,,,,x:00,,,2:45,,,,,,,,,,,,,1:00,,,,:15,,,,,,,,,,,,,,,,,,,,,Secretary Thaddeus Ross,
,,,,,,,,,,,,,,,,,,,,24:45,,,,,,,,,,,,,,,,,23:45,,:30,,,,,,,,3:00,,,,,,,,,,,,,Dr. Hank Pym,
,,,,,,,,,,,,,,,,,,,,15:45,,,,,,,,,,,,,,,,,35:00,,1:15,,,,,,,,4:15,,,,,,,,,,,,,Hope van Dyne,
,,,,,,,,,,,,,,,,,,,,7:00,,,,,,,,,,,,,,,,,8:30,,,,,,,,,,,,,,,,,,,,,,,Luis,
,,,,,,,,,,,,,,,,,,,,4:30,,,,,,,,,,,,,,,,,7:00,,1:00,,,,,,,,,,,,,,,,,,,,,Cassie Lang,
,,,,,,,,,,,,,,,,,,,,4:30,,,,,,,,,,,,,,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,Officer Jim Paxton,
,,,,,,,,,,,,,,,,,,,,2:45,,,,,,,,,,10:45,,,,,,,2:15,,,,,,,,,,,,,,,,,,,,,,,Dave,
,,,,,,,,,,,,,,,,,,,,2:45,,,,,,,,,,,,,,,,,2:15,,,,,,,,,,3:15,,,,,,,,,,,,,Kurt,
,,,,,,,,,,,,,,,,,,,,2:15,,,,,,,,,,,,,,,,,1:45,,,,,,,,,,,,,,,,,,,,,,,Maggie Lang,
,,,,,,,,,,,,,,,,,,,,2:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mitchell Carson,
,,,,,,,,,,,,,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gale,
,,,,,,,,,,,,,,,,,,,,:30,,,,,,,,,,,,,,,,,9:15,,:15,,,,,,,,:15,,,,,,,,,,,,,Janet van Dyne,
,,,,,,,,,,,,,,,,,,,,,986:30,,,,,,,,77:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessica Jones,
,,,,,,,,,,,,,,,,,,,,,417:45,,,,,,,,8:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Patricia ""Trish"" Walker",Hellcat
,,,,,,,,,,,,,,,,,,,,,179:00,,,,,,,,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malcolm Ducasse,
,,,,,,,,,,,,,,,,,,,,,105:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alisa Jones,
,,,,,,,,,,,,,,,,,,,,,99:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Thompson,Kilgrave
,,,,,,,,,,,,,,,,,,,,,81:30,,492:30,,,,,,80:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luke Cage,
,,,,,,,,,,,,,,,,,,,,,80:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erik Gelden,
,,,,,,,,,,,,,,,,,,,,,61:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorothy Walker,
,,,,,,,,,,,,,,,,,,,,,53:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officer Will Simpson,
,,,,,,,,,,,,,,,,,,,,,48:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gregory Sallinger,
,,,,,,,,,,,,,,,,,,,,,31:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Karl Malus,
,,,,,,,,,,,,,,,,,,,,,31:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oscar Arocho,
,,,,,,,,,,,,,,,,,,,,,31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Det. Eddy Costa,
,,,,,,,,,,,,,,,,,,,,,29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kith Lyonne,
,,,,,,,,,,,,,,,,,,,,,28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inez Green,
,,,,,,,,,,,,,,,,,,,,,20:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zaya,
,,,,,,,,,,,,,,,,,,,,,18:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hope Shlottman,
,,,,,,,,,,,,,,,,,,,,,17:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robyn,
,,,,,,,,,,,,,,,,,,,,,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pryce Cheng,
,,,,,,,,,,,,,,,,,,,,,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albert Thompson,
,,,,,,,,,,,,,,,,,,,,,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Griffin Sinclair,
,,,,,,,,,,,,,,,,,,,,,14:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Det. Oscar Clemons,
,,,,,,,,,,,,,,,,,,,,,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wendy Ross-Hogarth,
,,,,,,,,,,,,,,,,,,,,,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pam,
,,,,,,,,,,,,,,,,,,,,,10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brianna ""Berry"" Gelden",
,,,,,,,,,,,,,,,,,,,,,10:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stirling Adams,
,,,,,,,,,,,,,,,,,,,,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gillian,
,,,,,,,,,,,,,,,,,,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Louise Thompson,
,,,,,,,,,,,,,,,,,,,,,7:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vido Arocho,
,,,,,,,,,,,,,,,,,,,,,7:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steven Benowitz,
,,,,,,,,,,,,,,,,,,,,,6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shane Rybeck,
,,,,,,,,,,,,,,,,,,,,,6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruben,
,,,,,,,,,,,,,,,,,,,,,6:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Det. Ruth Sunday,
,,,,,,,,,,,,,,,,,,,,,5:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jackson,
,,,,,,,,,,,,,,,,,,,,,5:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donald,
,,,,,,,,,,,,,,,,,,,,,5:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audrey Eastman,
,,,,,,,,,,,,,,,,,,,,,4:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Lyonne,
,,,,,,,,,,,,,,,,,,,,,4:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maury Tuttlebaum,
,,,,,,,,,,,,,,,,,,,,,3:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linda Chao,
,,,,,,,,,,,,,,,,,,,,,3:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Robert ""Whizzer"" Coleman",
,,,,,,,,,,,,,,,,,,,,,3:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clair,
,,,,,,,,,,,,,,,,,,,,,3:00,,,,,,,,:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicole,
,,,,,,,,,,,,,,,,,,,,,2:30,,5:45,,,:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thembi Wallace,
,,,,,,,,,,,,,,,,,,,,,2:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emma,
,,,,,,,,,,,,,,,,,,,,,1:45,,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Reva Connors,
,,,,,,,,,,,,,,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sgt. Brett Mahoney,
,,,,,,,,,,,,,,,,,,,,,:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brian Jones,
,,,,,,,,,,,,,,,,,,,,,:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillip Jones,
,,,,,,,,,,,,,,,,,,,,,,11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prince T'Challa,Black Panther
,,,,,,,,,,,,,,,,,,,,,,10:30,,,,,,,,,,,,,,,,,,,,2:00,,,,,,,,,,,,,,,,,,Helmut Zemo,
,,,,,,,,,,,,,,,,,,,,,,5:00,,,,,,,,,,,,,,,,,,,,3:00,,10:30,,,2:00,,,,,,,,,,,,,Sharon Carter,
,,,,,,,,,,,,,,,,,,,,,,2:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria Stark,
,,,,,,,,,,,,,,,,,,,,,,1:30,,,,,,,,,,,,5:00,,,,,,,,,,,,,3:45,,,,,,,,,,,,,King T'Chaka,
,,,,,,,,,,,,,,,,,,,,,,1:15,,,,,,,,,,,,,,,,,,,,:15,,,,,,,,,,,,,,,,,,Everett Ross,
,,,,,,,,,,,,,,,,,,,,,,1:00,,,,,,4:00,,,,,,,,,,,:15,3:30,,,,,,,,,,,9:30,,,,,,,,,May Parker,
,,,,,,,,,,,,,,,,,,,,,,:30,,,,,,,,,,,,2:15,:15,,,,,,,,,3:15,,,,,,,,,,,,,,3:15,,Ayo,
,,,,,,,,,,,,,,,,,,,,,,,263:30,,,50:15,,,19:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Det. Misty Knight,
,,,,,,,,,,,,,,,,,,,,,,,238:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariah Stokes Dillard,
,,,,,,,,,,,,,,,,,,,,,,,154:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hernan ""Shades"" Alvarez",
,,,,,,,,,,,,,,,,,,,,,,,70:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John McIver,Bushmaster
,,,,,,,,,,,,,,,,,,,,,,,70:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cornell ""Cottonmouth"" Stokes",
,,,,,,,,,,,,,,,,,,,,,,,68:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tilda Johnson,
,,,,,,,,,,,,,,,,,,,,,,,47:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Willis Stryker,Diamondback
,,,,,,,,,,,,,,,,,,,,,,,41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Det. Rafael Scarfe,
,,,,,,,,,,,,,,,,,,,,,,,34:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Chief Priscilla Ridley,
,,,,,,,,,,,,,,,,,,,,,,,32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rev. James Lucas,
,,,,,,,,,,,,,,,,,,,,,,,28:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobby Fish,
,,,,,,,,,,,,,,,,,,,,,,,28:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Darius ""Comanche"" Jones",
,,,,,,,,,,,,,,,,,,,,,,,24:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry ""Pop"" Hunter",
,,,,,,,,,,,,,,,,,,,,,,,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Raymond ""Piranha"" Jones",
,,,,,,,,,,,,,,,,,,,,,,,19:15,,,500:15,,,73:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danny Rand,Iron Fist
,,,,,,,,,,,,,,,,,,,,,,,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capt. Tom Ridenhour,
,,,,,,,,,,,,,,,,,,,,,,,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Noah Burstein,
,,,,,,,,,,,,,,,,,,,,,,,17:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zip,
,,,,,,,,,,,,,,,,,,,,,,,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paul ""Anansi"" Mackintosh",
,,,,,,,,,,,,,,,,,,,,,,,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dave ""D.W."" Griffith",
,,,,,,,,,,,,,,,,,,,,,,,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Det. Mark Bailey,
,,,,,,,,,,,,,,,,,,,,,,,15:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilfredo ""Chico"" Diaz",
,,,,,,,,,,,,,,,,,,,,,,,15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domingo Colón,
,,,,,,,,,,,,,,,,,,,,,,,14:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sugar,
,,,,,,,,,,,,,,,,,,,,,,,14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheldon Shaw,
,,,,,,,,,,,,,,,,,,,,,,,14:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Det. Nandi Tyler,
,,,,,,,,,,,,,,,,,,,,,,,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Candace Miller,
,,,,,,,,,,,,,,,,,,,,,,,13:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Wesley,
,,,,,,,,,,,,,,,,,,,,,,,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Gabe Krasner,
,,,,,,,,,,,,,,,,,,,,,,,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Mama"" Mabel Stokes",
,,,,,,,,,,,,,,,,,,,,,,,10:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dontrell ""Cockroach"" Hamilton",
,,,,,,,,,,,,,,,,,,,,,,,9:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lt. Perez,
,,,,,,,,,,,,,,,,,,,,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tone,
,,,,,,,,,,,,,,,,,,,,,,,8:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingrid Mackintosh,
,,,,,,,,,,,,,,,,,,,,,,,7:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damon Boone,
,,,,,,,,,,,,,,,,,,,,,,,7:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reggie ""Squabbles""",
,,,,,,,,,,,,,,,,,,,,,,,7:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Pistol"" Pete Stokes",
,,,,,,,,,,,,,,,,,,,,,,,6:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shameek Smith,
,,,,,,,,,,,,,,,,,,,,,,,5:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connie Lin,
,,,,,,,,,,,,,,,,,,,,,,,5:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albert Rackham,
,,,,,,,,,,,,,,,,,,,,,,,5:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soledad Temple,
,,,,,,,,,,,,,,,,,,,,,,,5:00,,,286:45,,,36:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colleen Wing,
,,,,,,,,,,,,,,,,,,,,,,,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capt. Betty Audrey,
,,,,,,,,,,,,,,,,,,,,,,,4:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stephanie Miller,
,,,,,,,,,,,,,,,,,,,,,,,3:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patricia Wilson,
,,,,,,,,,,,,,,,,,,,,,,,3:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aisha Axton,
,,,,,,,,,,,,,,,,,,,,,,,2:45,,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hai-Qing Yang,
