movie,runtime_min,release_year,release_month
Iron Man,126:00,2008,May
The Incredible Hulk,112:00,2008,June
Iron Man 2,124:00,2010,May
Thor,115:00,2011,May
Captain America: The First Avenger,124:00,2011,July
The Avengers,143:00,2012,May
Iron Man 3,130:00,2013,May
Thor: The Dark World,112:00,2013,November
Captain America: The Winter Soldier,136:00,2014,April
Guardians of the Galaxy,121:00,2014,August
Avengers: Age of Ultron,141:00,2015,May
Ant-Man,117:00,2015,July
Captain America: Civil War,147:00,2016,May
Doctor Strange,115:00,2016,November
Guardians of the Galaxy Vol. 2,136:00,2017,May
Spider-Man: Homecoming,133:00,2017,July
Thor: Ragnarok,130:00,2017,November
Black Panther,134:00,2018,January
Avengers: Infinity War,149:00,2018,April
Ant-Man and the Wasp,118:00,2018,June
Captain Marvel,123:00,2019,March
Avengers: Endgame,181:00,2019,April
Spider-Man: Far from Home,129:00,2019,June
Black Widow,134:00,2021,June
Shang-Chi,132:00,2021,September
Eternals,156:00,2021,November
Spider-Man: No Way Home,148:00,2021,December